6	Still setting up my store, and after initially paying for another search app, I made the decision to try Instant Search.   Their aesthetic really suits my type of store, and the custom settings provide you with so many options.  I am new to all of this, and am so happy I found this app.
7	This is an excellent search app, which they have well designed functions to help merchant to uplift customer's online searching experience. Furthermore, they have one of the best customer services supports to provide valuable advise, as well as willing to linkup other App owner to resolve my challenges. Well Done ED!
7	A+, great great great customer service! thanks to Matt for the help. We use your service for 3 sites and recommend it to others.
2	I'm begginig to use this app, the search engine is intuitive and easy, Its helping me with very complex products that have many variants.  Support has been very good.
5	Great work guys. Easy app to install and use. Great customer service as well for app questions. 10/10
7	Very nice app.  Good customer service.  Would recommend.  I asked for help and they gave it right away.
7	Great app, allows customers to easily find what they are looking for. Customer care  team was very helpful in our set up inquiries.
5	I recently completely changed my theme and inquired with Instant Search to update the code.  That same day they were done.  Thankfully it was an easy fix for them.  I've enjoyed the facet search capabilities that IS has to offer.  I've also been able to tailor and customize the search to look more like my website.  Ton of features and endless variants can be added with tags.  I also enjoy the analytics which helps me to refine and adjust words to make the searching easier for customers.  Redirect option when certain search words are entered is a wonderful feature as well.  As mentioned there are a ton of options and features too many to list.
10	I recommend this app, I searched a lot and finally got into this one. Great App, support and service.
5	Amazing app! After trying a few available at the Shopify App Store, I can say EasySearch is the best one. It provides multiple options to set up a YMM search which is very useful, specially for stores with a huge number of products. The support team has been very helpful! I definetly recommend it.
8	A strong team that is willing to take extra steps for customer satisfaction. Fast turn around time and efficient delivery. App works as advertised unlike most others.
5	This app did exactly what we wanted. It's easy to use and install. The designers are friendly, easy to contact and do any changes needed quickly. Recommended!
6	We have this app installed on our site, has very good functionality and works perfectly for our customers. Ilia was very helpful with some custom CSS to make it fit our website!
7	Stellar Service! I recommend this company highly. They were very responsive, helpful & went above and beyond. I am so happy for their support and the product looks GREAT! Thank you for helping me get the year, make, model search up and running. YOU ROCK!
5	The app is very practical for my store as it helps filters out different products in a very simple and appropriate way. Also, the customer service team is the best I have seen so far on Shopify!
2	This app sits above the fold of our homepage, and is the most used navigational feature of our store.  It is simple and reliable, easy to implement and manage.  We loved how lightweight and functional it is, and the develope provides amazing support, too.  Highly recommended, thank you!
5	"This app is really terrific! Exceptionally easy to to use and a really amazing support team. This is a great option for anyone that supplies parts or needs to ""drill down"" to get to the correct item. They have improved the search so you can find by a variety of data points. I'm not a CSS guy and I was having an issue integrating it into my site gracefully. I asked them if they could help and within 24 hours the search was beautifully installed on my site exactly as I wanted. Really great support. NexusMedia really is a top tier developer. We will be looking at their other apps to see how we can enhance the rest of the website."
2	So far, so good! Very happy with the look and feel of the EasySearch and the customer service has been AMAZING!
7	The Customer Support from this Team is simply amazing, they are very quick to arrive at a solution and are also very responsive to new ideas.
7	I used this App to help me get right size charts until i changed my Theme&needed things fixed .There has been no response in the last  4 Weeks despite me writing several  E-mails. What a pitty :(  I hope you reply to this  Review.I will give you one last chance to respond.
9	Testing out the free plan and we have had a really satisfying experience. Will surely recommend to all.
7	Team, I need you to please guide me in how I can use the sticky add and also use the calendar so people can choose the delivery time and timings slots. At the moment it goes directly to the cart > please try to guide us on this.
10	wow very good thanks  goooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooood
3	I wish I could leave a good review because it looks like a nice app but unfortunately after I have installed it a few days ago I am still having an issue on mobile and iPad version... i tried to get in touch with support and as of today I still did not get any answer... now my 3 days trial is over and I guessed I will be charge for an app that simply did not work as expected... waste of money and waste of time...
10	This app is unique and fully meets our needs. Excellent support team.      Strongly recommend it.
10	I just started using the app. It is easy to implement and I look forward to the benefits of it on my store.
10	Working instantly, and very reactive support team. Congrats ;)
2	Actually really good! i was surprised to say the least, im a complete beginner but this app was simple and easy to use
6	Great little app that does exactly what it's supposed to, with plenty of customisation too! Support has also been great when needed. All-in, definitely a recommended app.
5	Excellent support team, they were able to help me I really like the features it has definitely recommend the app is amazing
4	Great support. finally solve my table alignment and youtube link issue.
7	Unloading has residue Unloading has residue Unloading has residue Unloading has residue Unloading has residue Unloading has residue
7	This app looks so professional for worldwide. Additionally, the customer service is really awesome and they know what people want. Thank you for the provided.
5	ruined my add to cart, checkout buttons, they're not working anymore even after i deleted the app, losing customers currently..
7	Very helpful app! A lot of small but significant things were fixed on my website and improved its work. Thank you, team,  for your quick reply and support!
5	I needed an app to display a true size chart on my store and i think i've just found it.  High quality result, easy to edit, the customer service is always available if you need some help. Very efficient. Keep going like this ! :)
5	This app is really really helpful to create size charts for all our products. It is very easy to use and so convenient as well as it has conversions.
7	Exactly the functionality we were looking for with TREMENDOUS support - seriously, the developers are not only responsive but extremely friendly and helpful. Strongly recommend!
7	The worst apps! Whoever supposedly removes the brand logo, but since it's so slow to display, we can guess it anyway! After-sales service is really to shit when you have a problem. Stay away ...
10	Helped my website look better! it hiked guide consumers towards the professional side of my product. lllllllllllhboubvoawebljhcipweh pibpkcpwiec
4	amazing translator app. Very accurate for English to French. I am a social media strategist and I recommend it to all my clients
7	Great service! Also really love the app. Would recommend to everyone who has a ecom business! Love it!
5	Excellent, speedy resolution provided to a seemingly trivial but potentially bounce-generating mobile display problem due to conflicting app.
